,0,1
0,USA,322
1,None,176
2,UK,73
3,Germany,58
4,Japan,27
5,Canada,23
6,France,18
7,China,17
8,Denmark,13
9,Poland,13
10,Italy,9
11,Australia,7
12,Switzerland,6
13,Ecuador,5
14,Hong Kong,5
15,Finland,4
16,New Zealand,3
17,Argentina,2
18,Pakistan,2
19,Uruguay,2
20,Czech Republic,2
21,Ancona,2
22,Austria,1
23,ME USA,1
24,Sweden,1
25,Norway,1
26,Digital Media Solutions,1
27,IL USA,1
28,Spain,1
29,Austrian TV,1
30,European Broadcasting Union,1
31,Frost School of Music,1
32,CT USA,1
33,Brazil,1
34,NJ,1
35,OH USA,1
36,NJ  USA,1
37,SP. Brazil,1
38,Netherlands,1
39,The Netherlands,1
40,American Samoa,1
41,NAVCC,1
42,Israel,1
43,Steinhardt,1
44,Bagno a Ripoli,1
45,Monte San Vito,1
46,Ashland,1
47,The Brooklyn Academy of Music,1
48,Boutique Pro Audio,1
49,Thailand,1
50,CA,1
51,PA USA,1
52,University of Lethbridge,1
53,CA  USA,1
54,Colombia,1
55,Southampton UK,1
56,Washington D.C.,1
57,Chian,1
